product_key,product_name,category,subcategory,cost,last_sale_date,recency_in_months,product_segment,lifespan,total_orders,total_sales,total_quantity,total_customers,avg_selling_price,avg_order_revenue,avg_monthly_revenue
3,Mountain-100 Black- 38,Bikes,Mountain Bikes,1898,2011-12-27,157,High-Performer,11,49,165375,49,49,3375.0,3375,15034
4,Mountain-100 Black- 42,Bikes,Mountain Bikes,1898,2011-12-27,157,High-Performer,11,45,151875,45,45,3375.0,3375,13806
5,Mountain-100 Black- 44,Bikes,Mountain Bikes,1898,2011-12-21,157,High-Performer,11,60,202500,60,60,3375.0,3375,18409
6,Mountain-100 Black- 48,Bikes,Mountain Bikes,1898,2011-12-26,157,High-Performer,12,57,192375,57,57,3375.0,3375,16031
7,Mountain-100 Silver- 38,Bikes,Mountain Bikes,1912,2011-12-22,157,High-Performer,12,58,197200,58,58,3400.0,3400,16433
8,Mountain-100 Silver- 42,Bikes,Mountain Bikes,1912,2011-12-28,157,High-Performer,11,42,142800,42,42,3400.0,3400,12981
9,Mountain-100 Silver- 44,Bikes,Mountain Bikes,1912,2011-12-12,157,High-Performer,12,49,166600,49,49,3400.0,3400,13883
10,Mountain-100 Silver- 48,Bikes,Mountain Bikes,1912,2011-12-23,157,High-Performer,11,36,122400,36,36,3400.0,3400,11127
16,Road-150 Red- 44,Bikes,Road Bikes,2171,2011-12-28,157,High-Performer,12,281,1005418,281,281,3578.0,3578,83784
17,Road-150 Red- 48,Bikes,Road Bikes,2171,2011-12-28,157,High-Performer,12,337,1205786,337,337,3578.0,3578,100482
18,Road-150 Red- 52,Bikes,Road Bikes,2171,2011-12-27,157,High-Performer,12,302,1080556,302,302,3578.0,3578,90046
19,Road-150 Red- 56,Bikes,Road Bikes,2171,2011-12-27,157,High-Performer,12,295,1055510,295,295,3578.0,3578,87959
20,Road-150 Red- 62,Bikes,Road Bikes,2171,2011-12-28,157,High-Performer,12,336,1202208,336,336,3578.0,3578,100184
36,Road-650 Black- 44,Bikes,Road Bikes,487,2012-12-26,145,Mid-Range,23,63,47565,63,63,755.0,755,2068
37,Road-650 Black- 48,Bikes,Road Bikes,487,2012-12-25,145,Mid-Range,21,60,45552,60,60,759.2,759,2169
38,Road-650 Black- 52,Bikes,Road Bikes,487,2012-12-19,145,High-Performer,23,89,66915,89,89,751.9,751,2909
39,Road-650 Black- 58,Bikes,Road Bikes,487,2012-12-18,145,High-Performer,23,76,57996,76,76,763.1,763,2521
40,Road-650 Black- 60,Bikes,Road Bikes,487,2012-12-12,145,High-Performer,22,76,57156,76,76,752.1,752,2598
41,Road-650 Black- 62,Bikes,Road Bikes,487,2012-12-18,145,Mid-Range,24,65,49047,65,65,754.6,754,2043
42,Road-650 Red- 44,Bikes,Road Bikes,487,2012-12-25,145,High-Performer,23,72,54528,72,72,757.3,757,2370
43,Road-650 Red- 48,Bikes,Road Bikes,487,2012-12-27,145,High-Performer,23,88,66720,88,88,758.2,758,2900
44,Road-650 Red- 52,Bikes,Road Bikes,487,2012-12-21,145,Mid-Range,24,61,46083,61,61,755.5,755,1920
45,Road-650 Red- 58,Bikes,Road Bikes,487,2012-12-18,145,High-Performer,22,74,56346,74,74,761.4,761,2561
46,Road-650 Red- 60,Bikes,Road Bikes,487,2012-12-23,145,Mid-Range,23,53,40071,53,53,756.1,756,1742
47,Road-650 Red- 62,Bikes,Road Bikes,487,2012-12-05,145,High-Performer,23,75,57381,75,75,765.1,765,2494
48,Road-250 Red- 44,Bikes,Road Bikes,1519,2012-12-25,145,High-Performer,12,144,351792,144,144,2443.0,2443,29316
49,Road-250 Red- 48,Bikes,Road Bikes,1519,2012-12-24,145,High-Performer,12,162,395766,162,162,2443.0,2443,32980
50,Road-250 Red- 52,Bikes,Road Bikes,1519,2012-12-25,145,High-Performer,12,133,324919,133,133,2443.0,2443,27076
104,Mountain Bottle Cage,Accessories,Bottles and Cages,4,2014-01-28,132,Mid-Range,13,2025,20340,2034,2004,10.0,10,1564
105,Road Bottle Cage,Accessories,Bottles and Cages,3,2014-01-25,132,Mid-Range,13,1711,15399,1711,1699,9.0,9,1184
106,Mountain-500 Black- 40,Bikes,Mountain Bikes,295,2013-12-13,133,Mid-Range,12,48,25920,48,48,540.0,540,2160
107,Mountain-500 Black- 42,Bikes,Mountain Bikes,295,2013-12-25,133,Mid-Range,11,49,26460,49,49,540.0,540,2405
108,Mountain-500 Black- 44,Bikes,Mountain Bikes,295,2013-12-25,133,Mid-Range,11,58,31320,58,58,540.0,540,2847
109,Mountain-500 Black- 48,Bikes,Mountain Bikes,295,2013-12-26,133,Mid-Range,11,56,30240,56,56,540.0,540,2749
110,Mountain-500 Black- 52,Bikes,Mountain Bikes,295,2013-12-24,133,Mid-Range,11,41,22140,41,41,540.0,540,2012
111,Mountain-500 Silver- 40,Bikes,Mountain Bikes,308,2013-12-26,133,Mid-Range,11,45,25425,45,45,565.0,565,2311
112,Mountain-500 Silver- 42,Bikes,Mountain Bikes,308,2013-12-27,133,Mid-Range,11,45,25425,45,45,565.0,565,2311
113,Mountain-500 Silver- 44,Bikes,Mountain Bikes,308,2013-12-25,133,Mid-Range,12,39,22035,39,39,565.0,565,1836
114,Mountain-500 Silver- 48,Bikes,Mountain Bikes,308,2013-12-27,133,Mid-Range,11,50,28250,50,50,565.0,565,2568
115,Mountain-500 Silver- 52,Bikes,Mountain Bikes,308,2013-12-25,133,Mid-Range,11,48,27120,48,48,565.0,565,2465
116,Mountain-400-W Silver- 38,Bikes,Mountain Bikes,420,2013-12-27,133,High-Performer,11,148,113812,148,148,769.0,769,10346
117,Mountain-400-W Silver- 40,Bikes,Mountain Bikes,420,2013-12-24,133,High-Performer,12,128,98432,128,128,769.0,769,8202
118,Mountain-400-W Silver- 42,Bikes,Mountain Bikes,420,2013-12-27,133,High-Performer,11,129,99201,129,129,769.0,769,9018
119,Mountain-400-W Silver- 46,Bikes,Mountain Bikes,420,2013-12-24,133,High-Performer,11,138,106122,138,138,769.0,769,9647
